country_year
Angola-1957
Angola-1961
Angola-1965
Angola-1969
Angola-1973
Angola-1980
Angola-1986
Angola-1992
Angola-2008
Angola-2012
Angola-2017
Chad-1962
Chad-1963
Chad-1969
Chad-1990
Chad-1996
Chad-1997
Chad-2001
Chad-2002
Chad-2006
Chad-2011
Chad-2016
Congo-1961
Congo-1963
Congo-1973
Congo-1979
Congo-1984
Congo-1989
Congo-1992
Congo-1993
Congo-1997
Congo-2002
Congo-2007
Congo-2009
Congo-2012
Congo-2015
Congo-2016
Congo-2017
Kenya-1966
Kenya-1969
Kenya-1974
Kenya-1979
Kenya-1983
Kenya-1988
Kenya-1991
Kenya-1992
Kenya-1993
Kenya-1994
Kenya-1996
Kenya-1997
Kenya-1998
Kenya-2001
Kenya-2002
Kenya-2005
Kenya-2007
Kenya-2008
Kenya-2010
Kenya-2012
Kenya-2013
Kenya-2016
Kenya-2017
Libya-1952
Libya-1956
Libya-1960
Libya-1964
Libya-1965
Libya-2012
Libya-2014
Nigeria-1964
Nigeria-1965
Nigeria-1979
Nigeria-1983
Nigeria-1990
Nigeria-1991
Nigeria-1992
Nigeria-1993
Nigeria-1997
Nigeria-1998
Nigeria-1999
Nigeria-2002
Nigeria-2003
Nigeria-2004
Nigeria-2005
Nigeria-2006
Nigeria-2007
Nigeria-2008
Nigeria-2009
Nigeria-2010
Nigeria-2011
Nigeria-2012
Nigeria-2013
Nigeria-2014
Nigeria-2015
Nigeria-2016
Nigeria-2017
Nigeria-2019
Sierra Leone-1962
Sierra Leone-1967
Sierra Leone-1973
Sierra Leone-1977
Sierra Leone-1982
Sierra Leone-1985
Sierra Leone-1986
Sierra Leone-1995
Sierra Leone-1996
Sierra Leone-1997
Sierra Leone-2002
Sierra Leone-2007
Sierra Leone-2012
Sierra Leone-2018
Somalia-1960
Somalia-1964
Somalia-1967
Somalia-1969
Somalia-1979
Somalia-1984
Somalia-1985
Somalia-1986
Somalia-1997
Somalia-2000
Somalia-2001
Somalia-2004
Somalia-2008
Somalia-2009
Somalia-2010
Somalia-2012
Somalia-2013
Somalia-2014
Somalia-2016
Somalia-2017
Sudan-1958
Sudan-1965
Sudan-1967
Sudan-1968
Sudan-1971
Sudan-1972
Sudan-1974
Sudan-1977
Sudan-1978
Sudan-1980
Sudan-1981
Sudan-1982
Sudan-1983
Sudan-1986
Sudan-1996
Sudan-1998
Sudan-2000
Sudan-2009
Sudan-2010
Sudan-2011
Sudan-2014
Sudan-2015
Zimbabwe-1970
Zimbabwe-1974
Zimbabwe-1977
Zimbabwe-1979
Zimbabwe-1980
Zimbabwe-1985
Zimbabwe-1990
Zimbabwe-1995
Zimbabwe-1996
Zimbabwe-2000
Zimbabwe-2002
Zimbabwe-2005
Zimbabwe-2008
Zimbabwe-2013
Zimbabwe-2018
