Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BHR,Bahrain,32417,Press Freedom Rank,Total,28,64,93,61,48,76,31,73,,154,152,156,156,156,164,166,167,169,168
BIH,Bosnia and Herzegovina,32416,Press Freedom Index,Total,12.5,6.83,3.67,7,5,11.17,8,10.5,13.5,26.86,26.86,27.51,28.45,,27.83,27.37,29.02,28.51,28.34
BIH,Bosnia and Herzegovina,32417,Press Freedom Rank,Total,9,101,56,101,75,8,108,4,18,53,55,61,64,61,65,62,63,58,58
BLR,Belarus,32416,Press Freedom Index,Total,52.2,52,54.1,61.33,57,63.63,58.33,59.5,57,48.35,47.82,47.98,54.32,,52.43,52.59,51.66,49.75,50.82
BLR,Belarus,32417,Press Freedom Rank,Total,79,96,94,96,85,117,90,104,112,141,146,150,151,146,153,155,153,153,158
BLZ,Belize,32416,Press Freedom Index,Total,,,,,,,,,,,17.05,18.54,20.61,,23.43,24.55,27.5,27.5,27.61
BLZ,Belize,32417,Press Freedom Rank,Total,,,,,,,,,,,18,25,32,38,41,47,53,53,53
BOL,Bolivia,32416,Press Freedom Index,Total,14.5,9.67,20,9.67,4.5,21.5,28.2,24.17,28.13,32.8,31.04,31.29,31.78,,33.88,32.45,35.38,35.37,35.47
BOL,Bolivia,32417,Press Freedom Rank,Total,13,119,32,117,63,38,47,49,63,94,83,88,93,101,107,110,113,114,110
BRA,Brazil,32416,Press Freedom Index,Total,18.8,16.75,16.5,14.5,17.17,25.25,18,15.88,16.6,32.75,34.03,31.93,32.62,,33.58,31.2,32.79,34.05,36.25
BRA,Brazil,32417,Press Freedom Rank,Total,18,18,23,18,21,51,20,27,27,93,100,93,99,97,103,102,105,107,111
BRN,Brunei Darussalam,32416,Press Freedom Index,Total,,,,,,,,63.5,51,35.45,35.45,36.76,53.85,,53.72,51.48,51.48,49.65,49.91
BRN,Brunei Darussalam,32417,Press Freedom Rank,Total,,,,,,,,109,101,106,106,115,149,149,156,153,152,152,154
