Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DOM,Dominican Republic,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
DZA,Algeria,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
ECU,Ecuador,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
EGY,"Egypt, Arab Rep.",28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
ERI,Eritrea,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ESP,Spain,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
EST,Estonia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
ETH,Ethiopia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1
FIN,Finland,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
FJI,Fiji,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
FRA,France,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,,0,0,,,,,
FRO,Faroe Islands,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
FSM,"Micronesia, Fed. Sts.",28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
GAB,Gabon,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
GBR,United Kingdom,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
GEO,Georgia,28156,Is this country on the FCV list?,Value,0,0,0,0,1,1,1,0,0,0,0,0,,,,,
GHA,Ghana,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
GIB,Gibraltar,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
GIN,Guinea,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,0,0,0,0,,,,,
