country,Electiondate,Election type,Runoff,
Mauritania,11/7/2003,P,,
Mauritania,3/11/2007,P,,
Mauritania,3/25/2007,P,1,
Mauritania,7/18/2009,P,,
Mauritania,10/19/2001,L,,
Mauritania,10/26/2001,L,1,
Mauritania,11/19/2006,L,,
Mauritania,12/3/2006,L,1,
Mauritania,11/23/2013,L,,
Mauritania,6/21/2014,P,,
Mauritania,9/1/2018,L,,
Mauritania,9/15/2018,L,1,
Mauritius,9/11/2000,B,,
Mauritius,7/3/2005,B,,
Mauritius,5/5/2010,B,,
Mauritius,12/10/2014,B,,
Morocco,9/27/2002,B,,
Morocco,9/7/2007,L,,
Morocco,11/25/2011,B,,
Morocco,6/12/2009,L,,
Morocco,4/27/2003,L,,
Morocco,9/4/2015,L,,
Morocco,10/7/2016,B,,
Mozambique,12/2/2004,B,,
Mozambique,10/28/2009,B,,
Mozambique,10/15/2014,B,,
Namibia,11/16/2004,B,,
Namibia,11/28/2009,B,,
Namibia,11/28/2014,B,,
Niger,11/16/2004,P,,
Niger,12/4/2004,L,,
Niger,1/31/2011,B,,
Niger,10/20/2009,L,,
Niger,2/21/2016,B,,
Niger,3/20/2016,P,1,
Nigeria,4/19/2003,P,,
Nigeria,4/21/2007,P,,
Nigeria,4/14/2007,L,,
Nigeria,4/16/2011,P,,
Nigeria,4/12/2003,L,,
Nigeria,4/9/2011,L,,
Nigeria,3/29/2015,B,,
Rwanda,8/25/2003,P,,
Rwanda,8/9/2010,P,,
Rwanda,10/2/2003,L,,
Rwanda,9/18/2008,L,,
Rwanda,9/18/2013,L,,
Rwanda,8/4/2017,P,,
Rwanda,9/3/2018,L,,
Senegal,2/27/2000,P,,
Senegal,3/19/2000,P,1,
Senegal,2/25/2007,P,,
Senegal,4/29/2001,L,,
Senegal,6/3/2007,L,,
Senegal,2/26/2012,P,,
Senegal,3/25/2012,P,1,
Senegal,7/1/2012,L,,
Senegal,7/30/2017,L,,
Sierra Leone,5/14/2002,B,,
Sierra Leone,8/11/2007,B,,
Sierra Leone,11/17/2012,B,,
Sierra Leone,3/7/2018,B,,
South Africa,4/14/2004,B,,
South Africa,4/22/2009,B,,
South Africa,5/7/2014,B,,
Sudan,12/18/2000,B,,
Sudan,4/13/2010,B,,
Sudan,4/16/2015,B,,
Swaziland,9/20/2003,B,,
Swaziland,10/19/2003,B,1,
Swaziland,9/19/2008,B,,
Swaziland,10/18/2003,B,,
Swaziland,9/19/2008,B,,
Tanzania,10/29/2000,B,,
Tanzania,12/14/2005,B,,
Tanzania,10/13/2010,B,,
Tanzania,10/25/2015,B,,
Togo,6/1/2003,P,,
Togo,4/25/2005,P,,
Togo,3/4/2010,P,,
Togo,10/27/2002,L,,
Togo,10/14/2007,L,,
Togo,7/25/2013,L,,
Togo,4/25/2015,P,,
Togo,12/20/2018,L,,
Tunisia,10/24/2004,B,,
Tunisia,10/25/2009,B,,
Tunisia,10/23/2011,L,,
Tunisia,10/26/2014,L,,
Tunisia,11/23/2014,P,,
Uganda,3/12/2001,B,,
Uganda,2/23/2006,B,,
Uganda,2/18/2011,B,,
Uganda,2/18/2016,B,,
Zambia,12/27/2001,B,,
Zambia,9/28/2006,B,,
Zambia,10/30/2008,P,,
Zambia,9/20/2011,B,,
Zambia,1/20/2015,P,,
Zambia,8/11/2016,B,,
Zimbabwe,3/11/2002,P,,
Zimbabwe,3/29/2008,B,,
Zimbabwe,6/25/2000,L,,
Zimbabwe,3/31/2005,L,,
Zimbabwe,7/31/2013,B,,
Zimbabwe,7/30/2018,B,,
Seychelles,9/2/2001,P,,
Seychelles,7/30/2006,P,,
Seychelles,5/21/2011,P,,
Seychelles,12/5/2015,P,,
Seychelles,12/6/2002,L,,
Seychelles,5/12/2007,L,,
Seychelles,10/1/2011,L,,
Seychelles,9/10/2016,L,,
Lesotho,5/25/2002,B,,
Lesotho,2/17/2007,B,,
Lesotho,5/26/2012,B,,
Lesotho,2/28/2015,B,,
Lesotho,6/3/2017,B,,
Cape Verde,2/11/2001,P,,
Cape Verde,2/12/2006,P,,
Cape Verde,8/7/2011,P,,
Cape Verde,10/2/2016,P,,
Cape Verde,1/14/2001,L,,
Cape Verde,1/22/2006,L,,
Cape Verde,2/6/2011,L,,
Cape Verde,3/20/2016,L,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Adding Cape Verde before CAR,,,,
How to handle run-offs and multiple runoffs - add a column for Runoff Elections,,,,
