election	date	year	office	country	ccodecow	ISO	Refno	numresponses	contacted	responserate	COUNTRYDATA	PR	CL	fhcategory	polity	polity2	gdp_pc_ppp	durable	development	region	region9	oecd	OVERALLINTEGRITY	PEIIndexp	PEIIndexp_lci	PEIIndexp_hci	PEIIndexi	PEIIndexi_lci	PEIIndexi_hci	PEIIndex_rank	rating	rating_lci	rating_hci	PEItype	lag_PEIIndexi	lag_PEIIndexi_lci	lag_PEIIndexi_hci	trend	LAWS	lawsunfair	lawsunfair2	favoredincumbent	favoredincumbent2	citizens	citizens2	laws	lawsi	PROCEDURES	managed	votinginfo	fairofficials	legalelections	procedures	proceduresi	BOUNDARIES	bdiscrim	bdiscrim2	bfavored	bfavored2	bimpartial	boundaries	boundariesi	VOTERREGISTRATION	reglisted	reglisted2	reginaccurate	reginaccurate2	ineligible	ineligible2	votereg	voteregi	PARTYREGISTRATION	oppprevent	oppprevent2	womenopp	minorityopp	leaderselect	leaderselect2	rallies	rallies2	partyreg	partyregi	MEDIACOVERAGE	newspapers	tv	tv2	fairaccess	faircoverage	socialmedia	media	mediai	CAMPAIGNFINANCE	subsidies	donations	accounts	rich	rich2	resources	resources2	finance	financei	VOTINGPROCESS	violence	violence2	fraudulent	fraudulent2	easy	choice	postal	disabled	expats	internet	voting	votingi	VOTECOUNT	secure	delay	faircount	intlmonitors	intlmonitors2	domesticmonitors	domesticmonitors2	count	counti	VOTINGRESULTS	challenged	challenged2	protestspeace	protestspeace2	protestsviolent	protestsviolent2	disputes	results	resultsi	ELECTIONAUTHORITIES	impartial	info	scrutiny	performance	EMBs	EMBsi	GENERALQUESTIONS	familiarity	important	ORGCONFIDENCE	courts	government	parliament	armedforces	electoralauth	BACKGROUND	expertdomestic	employment	public	university	nonprofit	agency	private	occupation	agegroup	sex	education	born	lived	candidate	rep	activist	ngo	voted	norole	monitor	monitorint	official	citizen	supported	leftrightscale	difficulty	VIGNETTES	vignetteA	vignetteB	vignetteC	vignetteD	vignetteE	vignetteF	ROTATING	bribed	bribed2	freetovote	fearviolence	fearviolence2	ballotconfidential	freefairelect	cashforvotes	cashforvotes2	patronage	patronage2	audit	hacking	campaignnews	govtnews	fakenews	fakenews2	hatespeech	hatespeech2	informedchoices	foreigninterference	foreigninterference2	mediamonitors	cyberattacks	cyberattacks2	diversenews	journalisticstandards	partisanjournalists	partisanjournalists2	fakesocial	fakesocial2	ELECTIONRESULT	DatePrevious	RegVote	ValidVote	Invalid	Turnout	P1Name	P2Name	P3Name	P4Name	P5Name	P6Name	P7Name	P8Name	P9Name	P10Name	P1Abb	P2Abb	P3Abb	P4Abb	P5Abb	P6Abb	P7Abb	P8Abb	P9Abb	P10Abb	P1Lead	P2Lead	P3Lead	P4Lead	P5Lead	P6Lead	P7Lead	P8Lead	P9Lead	P10Lead	P1PreSeats	P2PreSeats	P3PreSeats	P4PreSeats	P5PreSeats	P6PreSeats	P7PreSeats	P8PreSeats	P9PreSeats	P10PreSeats	TotSeats	P1Seats	P2Seats	P3Seats	P4Seats	P5Seats	P6Seats	P7Seats	P8Seats	P9Seats	P10Seats	P1SeatChange	P2SeatChange	P3SeatChange	P4SeatChange	P5SeatChange	P6SeatChange	P7SeatChange	P8SeatChange	P9SeatChange	P10SeatChange	P1PerSeats	P2PerSeats	P3PerSeats	P4PerSeats	P5PerSeats	P6PerSeats	P7PerSeats	P8PerSeats	P9PerSeats	P10PerSeats	P1Vote	P2Vote	P3Vote	P4Vote	P5Vote	P6Vote	P7Vote	P8Vote	P9Vote	P10Vote	P1PerVote	P2PerVote	P3PerVote	P4PerVote	P5PerVote	P6PerVote	P7PerVote	P8PerVote	P9PerVote	P10PerVote	MinorNumber	MinorSeat	MinorVote	MinorPerSeat	MinorPerVote	P1Incum	P2Incum	P3Incum	P4Incum	P5Incum	P6Incum	P7Incum	P8Incum	P9Incum	P10Incum	P1Govt	P2Govt	P3Govt	P4Govt	P5Govt	P6Govt	P7Govt	P8Govt	P9Govt	P10Govt	P1Change	P2Change	P3Change	P4Change	P5Change	P6Change	P7Change	P8Change	P9Change	P10Change	LSQINDEX	ENEP	ENPP
"IRN_14062013_P1"	2013-06-14	2013.0	1.0	"Iran"	630.0	"IRN"	78.0	9.0	37.0	0.24324325		6.0	6.0	0.0	-7.0	-7.0	16521.262	9.0	3.0	3.0	7.0	0.0					54.895126	47.69406	62.09619	167.0	6.125	4.8617716	7.3882284	3.0						4.0	2.0	4.0	2.0	3.3333333	2.6666667	43.3550001780192	35.50926		4.3333335	4.0	3.7142856	3.8888888	82.85714285714286	73.298615		4.0	2.0	2.6666667	3.3333333	3.0	57.80666478474935	51.52778		2.8333333	3.1666667	2.4	3.6	2.5	3.5	63.364999771118164	62.59259		4.7777777	1.2222222	1.2222222	1.7777778	3.857143	2.142857	3.3333333	2.6666667	35.42857142857143	20.444445		3.2222223	3.142857	2.857143	3.5555556	3.2222223	3.1666667	54.4	56.305557		3.2	3.0	1.8333334	2.4285715	3.5714285	3.25	2.75	56.0	47.333332		1.7777778	4.2222223	2.6666667	3.3333333	4.111111	3.3333333	2.3333333	2.857143	3.8888888	1.5	58.75	56.85764		3.5714285	3.7777777	3.7142856	3.75	2.25	2.4444444	3.5555556	74.0	61.97222		1.5	4.5	1.7142857	4.285714	1.4285715	4.571429	3.6666667	81.66666666666667	81.31944		2.8888888	3.5555556	3.142857	3.7777777	65.71428571428571	59.34028		9.428572	2.375		3.6666667	4.3333335	4.6666665	4.4444447	4.111111		0.33333334	2.0	0.33333334	0.8888889	0.0	0.0	0.11111111	6.0	3.6666666666666665	0.2222222222222222	5.0	0.7777777777777778	3.6666666666666665	0.0	0.0	0.0	0.0	0.33333334	0.5555556	0.11111111	0.0	0.0	0.6666666666666666	6.222222222222222	4.111111			3.875	8.25	8.5																																					2009-06-12	"50483192"	35458747	1245409.0	"72.7"	"Association of Combatant Clerics"	"Islamic Society of Engineers"	"Front of Islamic Revolution Stability"	"Moderation and Development Party"	"Islamic Coalition Party"	"Independent"					"ACC"	"ISE"	"FSP"	"MDP"	"ICP"						"Hassan ROUHANI"	"Mohammad-Bagher GHALIBEF"	"Saeed JALILI"	"Moshen REZAEE"	"Ali Akbar VELAYATI"	"Mohammad GHARAZI"																																														18613329	6077292	4168946	3884412	2268753	446015					52.5	17.1	11.8	11.0	6.4	1.3					0	0	446015.0		0.012578419649177114																																	
"IRN_26022016_L1"	2016-02-26	2016.0	0.0	"Iran"	630.0	"IRN"	78.0	7.0	36.0	0.19444445		6.0	6.0	0.0	-7.0	-7.0	17046.44	12.0	3.0	3.0	7.0	0.0					45.58309	37.604317	53.561867	240.0	5.285714	3.4586084	7.11282	2.0						4.0	2.0	4.0	2.0	3.7142856	2.2857144	23.333332824707032	27.738094		3.857143	4.142857	2.1666667	3.7142856	62.5	62.63393		3.3333333	2.6666667	2.5	3.5	2.6	47.22222137451172	50.238094		2.6	3.4	2.2	3.8	2.0	4.0	68.75	65.416664		4.714286	1.2857143	2.7142856	2.5	3.5	2.5	4.1666665	1.8333334	17.5	29.571428		2.5714285	3.7142856	2.2857144	1.8571428	2.4285715	3.1666667	31.666666666666668	36.714287		1.6666666	1.6666666	1.0	3.25	2.75	4.0	2.0	20.0	22.392857		2.25	3.75	3.0	3.0	4.0	3.142857	2.25	2.5	2.4	1.2	50.0	46.785713		4.0	3.5714285	3.6	4.2	1.8	3.75	2.25	45.0	53.17857		2.5714285	3.4285715	2.142857	3.857143	1.4285715	4.571429	3.4	67.5	70.9375		2.1666667	2.8333333	2.4	3.1666667	37.5	46.38393		8.857142	1.0		3.142857	4.714286	4.428571	4.0	3.857143		0.2857143	2.5	0.14285715	0.71428573	0.0	0.14285715	0.14285715	6.0	4.142857142857143	0.14285714285714285	5.0	0.5	3.1666666666666665	0.0	0.0	0.0	0.0	0.2857143	0.0	0.0	0.0	0.0	0.5714285714285714	3.142857142857143	3.2857144			2.857143	6.857143	7.0					2.1666667	3.8333333	3.5714285	2.2857144	3.7142856	3.8333333	2.5	3.1666667	2.8333333	3.4	2.6																						2012-03-02				"62"																																																																																																																																	
"IRN_19052017_P1"	2017-05-19	2017.0	1.0	"Iran"	630.0	"IRN"	78.0	7.0	46.0	0.1521739		6.0	6.0	0.0	-7.0	-7.0	19082.62	13.0	3.0	3.0	7.0	0.0		43.112244	38.90816	47.316326	47.28134	42.47476	52.087925	233.0	5.142857	3.727587	6.558127	2.0	54.895126	47.69406	62.09619	0.0		4.142857	1.8571428	4.285714	1.7142857	3.5714285	2.4285715	25.0	25.0		3.7142856	3.857143	3.1666667	3.7142856	63.541666666666664	66.20536		4.3333335	1.6666666	3.0	3.0	2.0	30.555555555555554	34.345238		2.6666667	3.3333333	3.5	2.5	3.1666667	2.8333333	47.22222222222223	48.095238		4.857143	1.1428572	2.857143	2.857143	3.3333333	2.6666667	4.285714	1.7142857	28.333333333333332	31.178572		3.5714285	4.0	2.0	2.142857	3.2857144	3.6666667	45.0	48.214287		2.857143	2.5	1.5714285	2.6666667	3.3333333	3.8333333	2.1666667	37.5	36.75		2.4285715	3.5714285	2.5714285	3.4285715	3.7142856	3.0	2.1666667	2.3333333	4.0	1.5714285	48.958333333333336	49.888393		4.0	3.4285715	3.8333333	3.857143	2.142857	2.7142856	3.2857144	56.666666666666664	58.892857		3.5714285	2.4285715	2.3333333	3.6666667	1.5714285	4.428571	3.4285715	62.5	61.830357		2.6666667	3.2857144	3.0	3.2857144	51.041666666666664	52.00893		8.571428	2.5714285714285716		2.5714285	4.857143	5.142857	3.2857144	3.5714285		0.42857143	2.7142856	0.0	1.0	0.0	0.14285715	0.0	6.0	3.5714285714285716	0.14285714285714285	5.0	0.8571428571428571	4.428571428571429	0.0	0.0	0.0	0.0	0.71428573	0.2857143	0.0	0.0	0.0	1.0	2.857142857142857	3.857143						7.0	4.857143	3.142857		3.6	2.4				4.0						2.8333333	4.0	3.2857144	3.142857	2.857143	3.142857																2012-06-14	"50483192"	49237783	1245409.0	"72.7"	"Moderation and Development Party"	"Combatant Clergy Association"									"MDP"	"CCA"									"Hassan Rouhani"	"Ebrahim Raisi"																																																		23549616	15786449									57.13	38.3																																														
"IRQ_30042014_L1"	2014-04-30	2014.0	0.0	"Iraq"	645.0	"IRQ"	79.0	9.0	37.0	0.24324325		6.0	6.0	0.0	6.0	6.0	15481.38	0.0	3.0	3.0	7.0	0.0		48.97959			44.101475	40.144104	48.058846	252.0	5.0	4.1297684	5.8702316	2.0						3.25	2.75	3.625	2.375	2.7777777	3.2222223	56.69499969482422	43.657406		3.2222223	3.125	2.8888888	3.2222223	63.125	53.333332		4.142857	1.8571428	3.5714285	2.4285715	2.75	44.78428513663156	41.34259		3.625	2.375	3.5	2.5	3.25	2.75	56.69499969482422	38.00926		3.8888888	2.1111112	3.5555556	3.4444444	3.5	2.5	3.5	2.5	57.333333333333336	45.36111		2.6666667	4.111111	1.8888888	2.875	3.0	3.875	56.57142857142857	45.97222		2.0	2.1666667	1.5714285	4.111111	1.8888888	4.75	1.25	36.666666666666664	18.472221		3.5	2.5	3.5714285	2.4285715	3.5555556	3.5555556	2.6	2.5	4.2222223	1.4	60.833333333333336	48.10764		2.6666667	2.25	3.0	2.8333333	3.1666667	2.6666667	3.3333333	55.0	49.555557		3.875	2.125	2.5	3.5	2.125	3.875	3.0	63.0	53.125		2.375	3.6666667	2.6666667	2.6666667	55.625	46.11111		8.222222	3.2857142857142856		3.3333333	2.1111112	2.6666667	3.0	4.4444447		0.11111111	2.75	0.33333334	0.7777778	0.44444445	0.33333334	0.22222222	5.777777777777778	3.4444444444444446	0.1111111111111111	5.0	0.3333333333333333	2.4444444444444446	0.0	0.0	0.0	0.0	0.22222222	0.6666667	0.0	0.0	0.0	0.3333333333333333	7.0	5.0			5.2222223	5.6666665	7.111111																																					2010-07-03	"21500000"	13013765	1791362.0	"68.9"	"State of Law Alliance"	"Sadrist Movement"	"Muwatin Coalition"	"Mutahidun"	"Kurdistan Democratic Party��"	"Wataniyya"	"Patriotic Union of Kurdistan"	"Arabiyya Alliance"	"Gorran"		"SLA"		"ISCI"		"KDP"		"PUK"				"Nouri al-Maliki"	"Moqtada al-Sadr"	"Ammar al-Hakim"	"Usama al-Nujayfi"	"Masoud Barzani"		"Jalal Talabani"	"Saleh al-Mutlaq"			89	0	0	0	26	0	17	0	8		325	92	34	31	28	25	21	21	10	9		3	34	31	28	-1	-5	4	10			28.3	10.5	9.5	8.6	7.7	6.5	6.5	3.1	2.8																						4	61	0.0	0.18769230769230769	0.0																																	
"IRQ_12052018_L1"	2018-05-12	2018.0	0.0	"Iraq"	645.0	"IRQ"	79.0	8.0	42.0	0.1904762		5.0	6.0	0.0	6.0	6.0	15663.986	3.0	3.0	3.0	7.0	0.0		23.979591	9.237196	38.72199	31.71556	25.288244	38.14288	316.0	3.0	2.1744258	3.8255742	1.0	44.101475	40.144104	48.058846	-1.0		3.625	2.375	4.0	2.0	3.2857144	2.7142856	35.71428435189383	34.270832		1.625	2.125	1.625	2.125	21.875	21.875		3.75	2.25	3.5	2.5	2.125	32.29166662693024	32.291668		4.285714	1.7142857	4.0	2.0	4.0	2.0	22.619047709873744	23.541666		2.857143	3.142857	3.75	3.0	3.0	3.0	3.5	2.5	50.714285714285715	52.21875		1.875	3.7142856	2.2857144	2.0	1.5	4.0	30.714285714285715	34.65625		2.0	1.5714285	1.625	4.25	1.75	4.375	1.625	19.285714285714285	17.3125		4.142857	1.8571428	4.125	1.875	2.7142856	2.375	2.6666667	1.6	3.5714285	2.4	31.25	34.86328		1.875	2.125	1.75	3.6	2.4	3.8	2.2	25.0	26.40625		4.125	1.875	2.5714285	3.4285715	3.2857144	2.7142856	2.25	38.392857142857146	38.828125		2.142857	2.4285715	2.0	1.625	25.892857142857142	27.265625		6.75	4.714285714285714		3.5	2.125	2.125	3.25	2.875		0.5	3.0	0.25	0.75	0.0	0.125	0.0	5.375	3.5	0.125	5.0	0.375	2.75	0.0	0.0	0.0	0.125	0.125	0.625	0.0	0.0	0.125	0.375	3.75	5.5						6.125	4.25	2.625		4.125	1.875														3.7142856	2.2857144	3.5714285	2.4285715	2.25	4.875	1.125	3.7142856	3.3333333	2.6666667	2.875	1.625	3.75	2.25	4.142857	1.8571428		2014-04-30																																													328																																																			0	21	0.0																																			
"IRL_26022016_L1"	2016-02-26	2016.0	0.0	"Ireland"	205.0	"IRL"	80.0	31.0	63.0	0.4920635		1.0	1.0	2.0	10.0	10.0	68882.875	95.0	4.0	4.0	6.0	1.0		71.2828	69.18316	73.38244	70.821266	68.41298	73.22955	65.0	8.806452	8.443899	9.169004	5.0						2.096774	3.903226	2.032258	3.967742	1.5806452	4.419355	77.41935434649068	77.41936		4.354839	4.129032	4.967742	4.935484	89.91935483870968	89.91936		2.451613	3.548387	2.1290324	3.8709676	4.0333333	70.27777722676595	70.30914		4.1538463	1.8461539	3.925926	2.074074	3.8461537	2.1538463	24.999999618530275	30.981182		1.451613	4.548387	4.354839	3.5333333	1.5806452	4.419355	1.4642857	4.535714	82.4074074074074	81.951614		3.3333333	2.1333334	3.8666666	3.7096775	3.516129	2.2941177	52.94117647058823	59.967743		3.2903225	2.8666666	2.8709676	2.096774	3.903226	2.4814816	3.5185184	58.51851851851852	56.629032		1.032258	4.967742	1.7272727	4.2727275	4.16129	4.387097	3.0689654	3.6666667	1.2857143	1.137931	58.984375	60.231853		4.677419	3.7741935	4.774194	1.173913	4.826087	1.1153846	4.8846154	92.04545454545455	89.0		1.8333334	4.1666665	1.5357143	4.464286	1.1034483	4.8965516	4.347826	85.3125	86.47177		4.7419353	3.6451614	3.892857	4.133333	78.125	77.2379		9.193548	2.0		7.967742	6.677419	6.387097	7.83871	7.935484		0.83870965	2.9333334	0.06451613	1.0	0.09677419	0.032258064	0.0	6.0	2.967741935483871	0.3548387096774194	5.0	0.6451612903225806	4.161290322580645	0.0	0.0	0.0	0.0	0.67741936	0.0	0.0	0.0	0.0	0.8064516129032258	4.161290322580645	4.642857			5.225806	7.935484	8.645162					1.1935484	4.806452	4.7419353	1.0967742	4.903226	4.806452	4.967742	1.3461539	4.6538463	2.75	3.25																						2011-02-25	"3202442"	2132795		"66.59999999999999"	"Fine Gael"	"Fianna Fail"	"Sinn Fein"	"Independents"	"Labour Party"	"Independent Alliance"	"Anti-Austerity Alliance - People Before Profit"	"Social Democrats"	"Green Party"	"Renua Ireland"											" Enda KENNY"	"Gerry ADAMS"	"Michael MARTIN"		"Joan BURTO"				"Eomon RYAN"	"Lucinda CREIGHTON"	76	20	14	15	37	2	2	0	0	0	166	50	44	23	12	7	6	6	3	2	0	-26	24	9	-3	-30	4	4	3	2	0	30.1	26.5	13.9	7.2	4.2	3.6	3.6	1.8	1.2	0.0	544130	519353	295313	242011	140893	88931	84168.0	64094	57997	46552	25.5	24.4	13.8	11.3	6.6	4.2	3.9	3.0	2.7	2.2																																				5.344623466625129	6.019454878166233	5.258867765770031
"IRL_26102018_P1"	2018-10-26	2018.0	1.0	"Ireland"	205.0	"IRL"	80.0	18.0	53.0	0.33962265		1.0	1.0	2.0	10.0	10.0	67335.3	96.0	4.0	4.0	6.0	1.0		80.27211	75.95674	84.58748	74.64136	71.61478	77.66794	45.0	8.777778	8.304781	9.250774	5.0						2.0	4.0	1.8333334	4.1666665	1.8333334	4.1666665	77.77777756585016	77.77778		4.611111	4.5	4.9375	4.888889	93.359375	93.21181		2.0	4.0	2.0	4.0	3.142857	67.85714285714286	66.18056		4.0	2.0	3.6875	2.3125	3.3846154	2.6153846	32.05128178229699	36.07843		2.2777777	3.7222223	4.5	3.5	1.7058823	4.2941175	1.2352941	4.7647057	78.21428571428571	78.94444		3.5	2.25	3.75	4.111111	3.9444444	2.8181818	63.5	65.632355		3.6111112	3.7222223	3.75	1.9444444	4.0555553	2.0	4.0	72.33333333333333	71.382355		1.0	5.0	1.3571428	4.642857	4.6666665	4.2777777	3.0588236	3.5625	1.6666666	1.2222222	61.979166666666664	63.04228		4.4117646	4.4444447	4.4444447	1.2	4.8	1.25	4.75	90.0	88.583336		1.2222222	4.7777777	1.2	4.8	1.0	5.0	3.8333333	91.25	91.63603		4.611111	4.2777777	4.266667	4.4444447	84.58333333333333	85.03472		9.444445	1.8666666666666667		8.111111	7.388889	7.3333335	7.888889	8.388889		0.8888889	2.8333333	0.11111111	1.0	0.11111111	0.055555556	0.0	6.0	3.6470588235294117	0.3888888888888889	5.0	0.8333333333333334	4.166666666666667	0.0	0.0	0.0	0.0	0.7777778	0.22222222	0.055555556	0.0	0.0	0.8888888888888888	4.055555555555555	4.7647057						9.444445	5.6666665	2.5555556		1.1111112	4.888889														1.6666666	4.3333335	2.6111112	3.3888888	3.9444444	1.7777778	4.2222223	3.909091	1.3125	4.6875	3.6470587	3.9444444	2.7222223	3.2777777	2.9333334	3.0666666																																																																																																																																							
"ISR_22012013_L1"	2013-01-22	2013.0	0.0	"Israel"	666.0	"ISR"	81.0	12.0	38.0	0.31578946		1.0	2.0	2.0	6.0	6.0	34225.29	32.0	4.0	3.0	7.0	1.0		88.265305			74.68325	68.37648	80.99002	43.0	8.6	8.04052	9.159481	5.0						1.6666666	4.3333335	2.1666667	3.8333333	1.6666666	4.3333335	83.3625005086263	79.166664		4.75	4.8333335	4.8333335	4.6666665	95.41666666666667	94.270836		3.0	3.0	1.5	4.5	4.0	76.70499801635742	65.173615		1.6	4.4	1.4545455	4.5454545	2.25	3.75	89.55428532191685	78.611115		1.9166666	4.0833335	4.0	3.8181818	2.1666667	3.8333333	1.75	4.25	79.63636363636364	75.020836		3.4166667	1.9166666	4.0833335	3.3636363	3.5833333	3.9	71.55555555555556	66.020836		3.75	3.5833333	3.1666667	2.3333333	3.6666667	2.8888888	3.1111112	66.66666666666667	61.9375		1.5833334	4.4166665	2.6666667	3.3333333	4.5833335	4.5833335	1.2857143	4.4444447	1.3636364	1.3	67.91666666666667	56.432293		4.5454545	4.8333335	4.6363635	1.25	4.75	1.4444444	4.5555553	95.0	89.375		1.4166666	4.5833335	1.7272727	4.2727275	1.1666666	4.8333335	4.125	90.0	86.27604		4.6666665	4.5833335	4.3	4.5454545	89.5	88.802086		9.363636	2.2		8.25	5.5	5.6666665	7.25	8.5		0.9166667	2.75	0.16666667	1.0	0.25	0.083333336	0.083333336	6.0	3.75	0.08333333333333333	5.0	0.6666666666666666	4.666666666666667	0.0	0.0	0.0	0.0	0.6666667	0.33333334	0.083333336	0.0	0.083333336	1.0	4.666666666666667	3.5			5.2	8.6	7.8																																					2009-02-10	"5656705"	3793469	40667.0	"67.8"	"Likud Yisrael Beiteinu"	"Yesh Atid"	"Israeli Labor Party"	"The Jewish Home - National Union"	"Shas"	"United Torah Judaism"	"Hatnuah"	"Meretz"	"United Arab List - Arab Movement for Renewal"	"The Democratic Front for Peace and Equality"									"Ra'am"	"Hadash"	"Benjamin NETANYAHU"	"Yair LAPID"	"Shelly YACHIMOVICH"	"Naftali BENNETT"	"Eli YISHAI"	"Yaakov LITZMAN "	"Tzipi LIVNI"	"Zahava GAL-ON"	"Ibrahim SARSUR"	"Mohammad BARAKEH"	42	0	13	3	11	5	0	3	4	3	120	31	19	15	12	11	7	6	6	4	4	-11	19	2	9	0	2	6	3	0	1	25.8	15.8	12.5	10.0	9.2	5.8	5.0	5.0	3.3	3.3	884625	543222	432083	345935	331800	196038	189168.0	172340	138362	113610	23.3	14.3	11.4	9.1	8.7	5.2	5.0	4.5	3.6	3.0	5	27	809518.0	0.225	0.2133978160886513											1	1	0	1	0	0	1	0	0	0											2.404163056034261	8.848852746241448	7.344354761712408
"ISR_17032015_L1"	2015-03-17	2015.0	0.0	"Israel"	666.0	"ISR"	81.0	14.0	43.0	0.3255814		1.0	2.0	2.0	6.0	6.0	36545.7	34.0	4.0	3.0	7.0	1.0					72.85168	67.806305	77.89705	55.0	9.071428	8.460347	9.682509	5.0	74.68325	68.37648	80.99002	0.0		2.5714285	3.4285715	2.0	4.0	1.5714285	4.428571	79.08357075282505	73.809525		4.5	4.642857	4.5	4.642857	91.42857142857143	89.28571		2.0	4.0	1.0	5.0	5.0	93.37999725341797	65.416664		2.0	4.0	1.5	4.5	2.0	4.0	80.97857121058873	78.48214		1.4615384	4.5384617	4.142857	3.857143	2.4285715	3.5714285	1.8461539	4.1538463	79.33333333333333	76.64286		2.357143	1.8571428	4.142857	2.9230769	2.5714285	3.0	53.5	49.57143		3.7857144	3.2857144	3.0	2.2857144	3.7142856	2.642857	3.357143	67.6923076923077	60.857143		1.5833334	4.4166665	2.909091	3.090909	4.357143	4.5	2.7142856	4.5	1.1111112	1.1	64.375	59.129463		4.6153846	4.5	4.8461537	1.1666666	4.8333335	1.1666666	4.8333335	94.0	91.75		1.6153846	4.3846154	1.6153846	4.3846154	1.0714285	4.928571	4.6363635	92.5	88.66071		4.357143	4.428571	4.4	4.5384617	89.5	84.41964		9.071428	1.5		8.357142	6.071429	6.357143	7.785714	8.714286		0.85714287	3.0	0.071428575	0.9285714	0.071428575	0.0	0.071428575	6.0	3.642857142857143	0.14285714285714285	5.0	0.8571428571428571	4.714285714285714	0.0	0.0	0.0	0.071428575	0.64285713	0.0	0.0	0.0	0.071428575	1.0	3.2142857142857144	3.7692308			4.642857	8.357142	8.785714																																					2015-03-17	"5881696"	4210884	43854.0	"72"	"Likud"	"Zionist Bloc"	"Joint List: Hadash, United Arab List, Balad, Taal"	"Yesh Atid"	"Kulanu/All of Us"	"Jewish Home"	"Shas"	"Yisrael Beiteinu"	"United Torah Judaism"	"Meretz"											"Benjamin Netanyahu"	"Isaac Herzog"	"Ibrahim Sarsur"	"Yair Lapid"	"Moshe Kahlon"	"Naftali Bennett"	"Aryeh Deri"	"Avigdor Liberman"	"Yakov Litzman"	"Zahava Gal-On"	31		4	19		12	11			6	120	30	24	13	11	10	8	7	6	6	5	-1		9	-8		-4	-4				25.0	20.0	10.8	9.2	8.3	6.7	5.8	5.0	5.0	4.2	985408	786313	446583	371602	315360	283910	241613.0	214906	210143	165529	23.4	18.7	10.6	8.8	7.5	6.7	5.7	5.1	5.0	3.9																																				1.612451549659711	7.770611547128759	6.937988260923862
"ITA_24022013_L1"	2013-02-24	2013.0	0.0	"Italy"	325.0	"ITA"	82.0	18.0	41.0	0.4390244		1.0	1.0	2.0	10.0	10.0	36131.133	65.0	4.0	4.0	6.0	1.0		68.62245	65.393166	71.85174	66.386055	63.86208	68.91003	90.0	8.333333	7.9260426	8.740623	4.0						3.4375	2.5625	3.0	3.0	3.1111112	2.8888888	57.528749227523804	44.074074		4.2777777	4.5555553	4.4444447	4.4444447	88.61111111111111	85.763885		2.4545455	3.5454545	2.1666667	3.8333333	3.5833333	72.15727233886719	64.88426		2.0833333	3.9166667	2.0	4.0	1.9	4.1	81.35899963378907	73.28704		1.8	4.2	3.8888888	3.764706	3.6666667	2.3333333	1.9375	4.0625	75.07692307692308	65.72222		3.0	2.8333333	3.1666667	3.1111112	3.0555556	3.3333333	63.666666666666664	52.569443		3.6111112	3.4117646	1.8333334	2.9444444	3.0555556	3.0588236	2.9411764	59.75	49.041668		1.6666666	4.3333335	2.1333334	3.8666666	4.1666665	3.8823528	2.5555556	3.8461537	3.8888888	1.4545455	72.5	63.47222		4.2352943	3.6666667	4.352941	1.7272727	4.2727275	1.6153846	4.3846154	80.8	80.02778		2.0	4.0	2.3125	3.6875	1.4375	4.5625	3.7857144	80.76923076923077	75.50347		4.2222223	4.3333335	4.117647	4.0555553	84.70588235294117	79.13194		9.277778	2.8333333333333335		6.4444447	5.2222223	5.3333335	6.0	6.888889		0.8333333	3.0	0.0	0.9444444	0.055555556	0.0	0.0	6.0	3.8333333333333335	0.1111111111111111	5.0	0.8888888888888888	4.5	0.055555556	0.055555556	0.055555556	0.0	0.5555556	0.44444445	0.0	0.0	0.0	0.8888888888888888	4.777777777777778	3.9444444			4.0	7.2	7.0																																					2008-04-13	"42270824"	34002524	1269017.0	"83.4"	"Italy Common Good"	"Centre-Right Coalition"	"Five Star Movement"	"With Monti for Italy"																	"Pier Luigi BERSANI"	"Silvio BERLUSCONI"	"Giuseppe Piero GRILLO"	"Mario MONTI"							215	278	0	64							630	340	124	108	45							125	-154	108	-19							54.0	19.7	17.1	7.1							10047808	9922850	8689458	3591607							29.6	29.2	25.6	10.6							0	0	0.0	0.0	0.0	0	1	0	0							1	1	0	1							1	0	0	1							19.62281835007398	4.005575761459952	2.742047377094581
